الترتيب,المرحلة,البند
1,المرحلة الأولى: تأسيس السباكة,مراجعة المخطط وتحديد أماكن النقاط الصحية
2,المرحلة الثانية: تأسيس الكهرباء,بداية تأسيس الكهرباء
